症例から学ぶくん,標準病名,コメント,選択肢
けが,,部位により病名が異なります。怪我をしたのはどの部位ですか？,頭->頭部外傷,顔->顔面挫傷,首->頸部外傷,肩・腕・手->上肢外傷,胸->胸部外傷,腹->腹部外傷,腰->腰部損傷,泌尿器・肛門->尿道外傷,足->下肢外傷,皮膚->皮膚損傷
こわばり,,部位により病名が異なります。こわばりがあるのはどの部位ですか？,肩・腕・手->上肢知覚異常,足->下肢知覚障害
しこり,,部位により病名が異なります。しこりがあるのはどの部位ですか？,顔->顔面腫瘤,首->頸部腫瘤,肩・腕・手->上腕腫瘤,足->下腿腫瘤
しびれ,,部位により病名が異なります。しびれがあるのはどの部位ですか？,頭->しびれ,顔->顔面麻痺,首->頸部しびれ,肩・腕・手->上肢しびれ,胸->半身しびれ,腰->腰足知覚障害,足->下肢しびれ
はれもの,,部位により病名が異なります。はれものがあるのはどの部位ですか？,頭->頭部浮腫,顔->顔面浮腫,眼->眼瞼浮腫,肩・腕・手->上肢浮腫,皮膚->浮腫
ヘルペス,,部位により病名が異なります。ヘルペスがあるのはどの部位ですか？,口・喉・あご->口唇ヘルペス,泌尿器・肛門->陰部ヘルペス,皮膚->ヘルペス
むくみ,,部位により病名が異なります。むくみがあるのはどの部位ですか？,全身->浮腫,肩・腕・手->上肢浮腫,足->下肢浮腫
やけど,,部位により病名が異なります。やけどがあるのはどの部位ですか？,頭->頭部熱傷,顔->顔面熱傷,首->頸部熱傷,肩・腕・手->上肢熱傷,胸->胸部熱傷,腹->腹部熱傷,腰->背部熱傷,泌尿器・肛門->肛門熱傷,足->下肢熱傷,皮膚->熱傷
関節痛,,部位により病名が異なります。関節痛があるのはどの部位ですか？,全身->関節痛,肩・腕・手->上肢関節痛,足->下肢関節痛
筋肉痛,,部位により病名が異なります。筋肉痛があるのはどの部位ですか？,全身->筋肉痛,首->頚肩部筋肉痛,肩・腕・手->上肢筋肉痛,腰->背部筋肉痛,足->下肢筋肉痛
神経痛,,部位により病名が異なります。神経痛があるのはどの部位ですか？,全身->神経痛,腰->背部神経痛
捻挫,,部位により病名が異なります。捻挫があるのはどの部位ですか？,肩・腕・手->上肢捻挫,足->下肢捻挫
麻痺,,部位により病名が異なります。麻痺があるのはどの部位ですか？,全身->麻痺,肩・腕・手->上肢麻痺,足->下肢麻痺
痙攣,,部位により病名が異なります。痙攣があるのはどの部位ですか？,肩・腕・手->上肢痙縮,足->下肢痙攣
痛い,,部位により病名が異なります。痛い部位を具体的に入力しましょう。例）頭が痛い,
かゆい,,部位により病名が異なります。痒いのはどの部位ですか？,頭->頭部脂漏,眼->眼部そう痒,皮膚->掻痒
熱,,程度により病名が異なります。どのくらいの熱ですか？,37.0～38.0℃->微熱,38℃以上->高熱,発熱の原因が不明->不明熱
37℃以上,,37℃台の熱ですか？,はい->微熱,38℃以上->高熱
38℃,,38℃以上の熱ですか？,はい->高熱,38℃以下->微熱
咳,,どのような咳ですか？,乾いた感じの咳->乾性咳嗽,湿った感じの咳->湿性咳嗽,犬が吠えるような咳->犬吠様咳嗽,3週間未満続く咳->急性咳嗽,3週間以上続く咳->遷延性咳嗽,8週間以上続く咳->慢性咳嗽
血圧,,血圧が高いか低いかにより、病名が異なります。また、この他にも原因により様々な病名がつきます。,血圧が高い->高血圧,血圧が低い->低血圧
汗,,就寝時とそれ以外で表現が異なります。汗が気になるのはどちらの時ですか？,就寝時->寝汗,就寝時以外->多汗
尿,,尿の異常ですか？それとも排尿時の問題ですか？,尿の異常->尿の異常,排尿時の問題->排尿時の問題
尿の異常,尿の異常,症状は次のうち、どれにあたりますか？,尿に血が混じる->血尿,尿が濁る->混濁尿,濃い尿色->濃縮尿,尿道から膿が出る->尿道膿汁流出
排尿時の問題,排尿時の問題,症状は次のうち、どれにあたりますか？,尿の回数が多い->頻尿,尿が出なくなった->尿閉,尿が出るまでに時間がかかる->排尿困難,尿が漏れる->尿失禁,残尿感がある->残尿感,排尿時不快感がある->排尿時不快感
便,,便の異常ですか？それとも排便時の問題ですか？,便の異常->血便$黒色便$便色異常$硬便,排便時の問題->残便感$便通異常$頻便
便の異常,,症状は次のうち、どれにあたりますか？,便の色が赤い->血便,便の色が黒い->黒色便,便の色が薄い->便色異常,便が硬い->硬便
排便時の問題,,症状は次のうち、どれにあたりますか？,便の回数が多い->頻便,残便感がある->残便感,便通に変化がある->便通異常
骨が折れた,,骨が折れることを「骨折」と言いますが、折れた部位や折れ方により表現が異なります。,部位->上腕骨骨折・足関節骨折・頚椎骨折など,折れ方->閉鎖骨折・解放骨折・圧迫骨折・粉砕骨折・疲労骨折・剥離骨折など
頭,,頭がどのような状態か、症状も併せて入力しましょう。例）頭が痛い,
顔,,顔がどのような状態か、症状も併せて入力しましょう。例）顔が痛い,
首,,首がどのような状態か、症状も併せて入力しましょう。例）首が痛い,
手,,手がどのような状態か、症状も併せて入力しましょう。例）手が痛い,
足,,足がどのような状態か、症状も併せて入力しましょう。例）足が痛い,
胸,,胸がどのような状態か、症状も併せて入力しましょう。例）胸が痛い,
腹,,腹がどのような状態か、症状も併せて入力しましょう。例）腹が痛い,
眼,,眼がどのような状態か、症状も併せて入力しましょう。例）眼が痛い,
耳,,耳がどのような状態か、症状も併せて入力しましょう。例）耳が痛い,
喉,,喉がどのような状態か、症状も併せて入力しましょう。例）喉が痛い,
舌,,舌がどのような状態か、症状も併せて入力しましょう。例）舌が痛い,
顎,,顎がどのような状態か、症状も併せて入力しましょう。例）顎が痛い,
身体,,身体がどのような状態か、症状も併せて入力しましょう。例）身体が痛い,
肩,,肩がどのような状態か、症状も併せて入力しましょう。例）肩が痛い,
腕,,腕がどのような状態か、症状も併せて入力しましょう。例）腕が痛い,
腰,,腰がどのような状態か、症状も併せて入力しましょう。例）腰が痛い,
,,,
,,,
熱がある,発熱,いつから発熱があるのか、具体的な体温と、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
寒気,悪寒,いつから悪寒があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
疲れ,疲労,いつから、どのような時に疲労を感じるか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
倦怠感,疲労,いつから、どのような時に疲労を感じるか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
血圧が高めである,高血圧,毎日血圧を測定し、適度な運動とバランスのとれた食事を心がけましょう。,
労作時の呼吸困難,労作時呼吸困難,いつから呼吸困難の症状があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
全身のむくみ,浮腫,いつから、どこに浮腫があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
意識障害,意識障害,,
身体が痛い,全身痛,いつから、どのような時に、どのような痛みを感じるか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
全身の麻痺,麻痺,いつから、どのような麻痺があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
全身の関節痛,関節痛,いつから痛みがあるのか、症状の経過、 気が付いた事などもあれば併せて伝えましょう。,
歩きにくい,歩行困難,いつから、どのように歩きにくいのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
全身の神経痛,神経痛,いつから、どのような痛みがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
身体がしびれている,全身のしびれ感,いつからしびれ感があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
ふらつき,平衡障害,いつ頃から、どのような時にふらつきがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
平衡感覚の乱れ,平衡障害,いつ頃から、どのような時にふらつきがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
全身の筋肉痛,筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
血圧が低めである,低血圧,自覚する他の症状はありますか？ バランスの良い食事、軽い運動なども心がけましょう。,
睡眠時の無呼吸,睡眠時無呼吸,いつ頃から睡眠時無呼吸が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
手足の動きが悪い,運動失調,いつ頃から、どのように運動失調が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
体重減少,体重減少,いつ頃から、どのくらいの体重減少がありますか？ 思い当たる原因などがあれば併せて伝えましょう。,
寝汗,寝汗,いつ頃から、どのくらいの寝汗をかくようになりましたか？ 気が付いた点などもあれば併せて伝えましょう。,
発汗,多汗,いつ頃から、どのような汗をかくようになりましたか？ 気が付いた点などもあれば併せて伝えましょう。,
冷汗,多汗,いつ頃から、どのような汗をかくようになりましたか？ 気が付いた点などもあれば併せて伝えましょう。,
体重増加,体重増加,いつ頃から、どのくらいの体重増加がありましたか？ 思い当たる原因などがあれば併せて伝えましょう。,
吐き気,悪心,いつから、どのような時に悪心があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
頭が痛い,頭痛,いつから、どのような時に、どのような頭痛があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
頭のかゆみ,頭部脂漏,いつ頃から、どのように頭部脂漏が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
頭のしびれ,しびれ,いつからしびれがあるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
物忘れ,認知症,いつ頃から、具体的にどのような症状が認められるのか、症状の経過なども併せて伝えましょう。,
認知機能の低下,認知症,いつ頃から、具体的にどのような症状が認められるのか、症状の経過なども併せて伝えましょう。,
めまい,めまい,いつ頃から、どのような時にめまいがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
頭のけが,頭部外傷,いつ、何故けがをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
抜け毛,脱毛,いつ頃から、どのくらいの脱毛がありますか？ 気が付いた点などもあれば併せて伝えましょう。,
脱毛,脱毛,いつ頃から、どのくらいの脱毛がありますか？ 気が付いた点などもあれば併せて伝えましょう。,
頭のやけど,頭部熱傷,いつ、何故やけどをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
頭のはれもの,頭部浮腫,いつから浮腫があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
顔のしびれ,顔面麻痺,いつから、主にどこに麻痺があるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
顔のはれもの,顔面浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
顔のしこり,顔面腫瘤,いつから腫瘤があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
顔のけが,顔面挫傷,いつ、何故けがをしたのか、症状の経過なども併せて伝えましょう。,
顔が痛い,顔面痛,いつから、どのような痛みがあるのか、症状の経過なども併せて伝えましょう。,
顔のやけど,顔面熱傷,いつ、何故やけどをしたのか、症状の経過なども併せて伝えましょう。,
顔面の異常,顔面のこわばり感,いつ頃から、どのようなこわばり感がありますか？ 気が付いた点などもあれば併せて伝えましょう。,
顔面の違和感,顔面のこわばり感,いつ頃から、どのようなこわばり感がありますか？ 気が付いた点などもあれば併せて伝えましょう。,
物が二重に見える,複視,いつ頃から二重に見えますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
見えにくい,弱視,いつ頃から、どのように見えにくいですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
眼が痛い,眼痛,いつ頃から、どんな時に、どのように痛いですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
眼のはれもの,眼瞼浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
まぶしい,羞明,いつ頃から、どのような時にまぶしさを感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
開眼困難,開眼困難,いつ頃から、どのような時に困難を感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
目が開けにくい,開眼困難,いつ頃から、どのような時に困難を感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
涙が出る,流涙,いつ頃から、どのような時に涙が出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
目やに,眼脂,いつ頃から、眼脂が生じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
涙液減少,涙液減少,いつ頃から、眼の乾きを感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
眼が乾く,涙液減少,いつ頃から、眼の乾きを感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
眼がかゆい,眼部そう痒,いつ頃から、どのような時にかゆみを感じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
眼がゴロゴロする,眼部違和感,いつ頃から、どのような時に違和感がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
聞こえにくい,難聴,いつ頃から、どのように聞こえにくいですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳が痛い,耳痛,いつ頃から、どんな時に、どのように痛いですか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳鳴り,耳鳴,いつ頃から、どのような時に耳鳴がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳がふさがった感じ,耳閉感,いつ頃から、どのような時に耳閉感がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳だれ,耳漏,いつ頃から耳漏がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
耳あか,耳垢,いつ頃から、どのくらいの耳垢がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
花粉症,花粉症,具体的な症状や、経過などを併せて伝えましょう。,
鼻がつまる,鼻閉,いつ頃から鼻閉がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
においがわからない,嗅覚異常,いつ頃から嗅覚異常がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
鼻水がでる,鼻漏,いつ頃から、どのくらいの鼻漏がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
くしゃみがでる,くしゃみ,いつ頃からくしゃみが出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
いびき,いびき,いつ頃から、どのような時にいびきが生じますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
鼻出血,鼻血,いつ頃から、どんな時に、どのくらい鼻血が出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
飲み込みにくい,嚥下障害,いつ頃から、どのようなものを飲み込みにくいと感じるようになりましたか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
たん,喀痰,いつ頃から、どのくらいの痰が出ますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
せき,咳,いつ頃から、どのくらいの頻度で、どのような咳が出ますか？ 症状の経過や、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
声のかすれ,発声障害,いつ頃から、どのくらいの頻度で、どのように声のかすれがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
嗄声,発声障害,いつ頃から、どのくらいの頻度で、どのように声のかすれがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
口内炎,口内炎,いつ頃から口内炎がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
口唇炎,口内炎,いつ頃から口内炎がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
味覚障害,味覚障害,いつ頃から味覚異常がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
口のヘルペス,口唇ヘルペス,いつ頃から口唇ヘルペスがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
喉のヘルペス,口唇ヘルペス,いつ頃から口唇ヘルペスがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
あごのヘルペス,口唇ヘルペス,いつ頃から口唇ヘルペスがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
食べ物や異物を気管内に飲み込んだ,誤嚥,その後の経過や、気が付いた点などもあれば併せて伝えましょう。,
舌のあれ,舌炎,いつ頃から舌炎がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
知覚過敏,知覚過敏,いつ頃から知覚過敏がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
のどが痛い,咽頭痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
舌が痛い,舌痛症,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
のどに何かある感じ,咽喉頭異常感,いつから異常感があるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
あごが痛い,顎関節症,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
しゃっくり,しゃっくり,いつからしゃっくりがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
首が痛い,頸部痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
首のしこり,頸部腫瘤,いつから腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
顔の腫れ,頸部浮腫,いつから浮腫があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
首の腫れ,頸部浮腫,いつから浮腫があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
首の筋肉痛,頚肩部筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
首が回らない,頸部捻挫,いつから首が回らないのか、原因と思われる事柄、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
首のけが,頸部外傷,いつ、何故けがをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
首のやけど,頸部熱傷,いつ、何故やけどをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
首のしびれ,頸部しびれ,いつからしびれがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩の関節痛,上肢関節痛,いつから痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕の関節痛,上肢関節痛,いつから痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手の関節痛,上肢関節痛,いつから痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩の痙攣,上肢痙縮,いつから、どのような痙攣があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
