症例から学ぶくん,標準病名,コメント,選択肢
腕の痙攣,上肢痙縮,いつから、どのような痙攣があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手の痙攣,上肢痙縮,いつから、どのような痙攣があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手足のふるえ,四肢振戦,いつから、どのようなふるえがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩が痛い,肩痛,いつから痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩の麻痺,上肢麻痺,いつ頃から、どのような麻痺があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕の麻痺,上肢麻痺,いつ頃から、どのような麻痺があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手の麻痺,上肢麻痺,いつ頃から、どのような麻痺があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のしこり,上腕腫瘤,いつ頃から腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のしこり,上腕腫瘤,いつ頃から腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のしこり,上腕腫瘤,いつ頃から腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のはれもの,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のはれもの,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のはれもの,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕が痛い,上腕痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
脱臼,脱臼,いつ、なぜ脱臼をしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のむくみ,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のむくみ,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のむくみ,上肢浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のしびれ,上肢しびれ,いつ頃からしびれがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
腕のしびれ,上肢しびれ,いつ頃からしびれがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
手のしびれ,上肢しびれ,いつ頃からしびれがあるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
肩の筋肉痛,上肢筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過なども併せて伝えましょう。,
腕の筋肉痛,上肢筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過なども併せて伝えましょう。,
手の筋肉痛,上肢筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過なども併せて伝えましょう。,
四十肩,肩関節周囲炎,いつから肩関節周囲炎の症状があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
五十肩,肩関節周囲炎,いつから肩関節周囲炎の症状があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手が痛い,手痛,いつから、どのような痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩こり,肩こり,いつから肩こりがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のひび,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のひび,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のひび,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のあかぎれ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のあかぎれ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のあかぎれ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のしもやけ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のしもやけ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のしもやけ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のやけど,上肢熱傷,いつ、何故やけどをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のやけど,上肢熱傷,いつ、何故やけどをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のやけど,上肢熱傷,いつ、何故やけどをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩のけが,上肢外傷,いつ、何故けがをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕のけが,上肢外傷,いつ、何故けがをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手のけが,上肢外傷,いつ、何故けがをしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
肩の捻挫,上肢捻挫,いつ、なぜ捻挫をしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
腕の捻挫,上肢捻挫,いつ、なぜ捻挫をしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手の捻挫,上肢捻挫,いつ、なぜ捻挫をしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
手の冷え,冷え症,症状の経過、状態、気が付いた点などもあれば併せて伝えましょう。,
肩のこわばり,上肢知覚異常,いつ頃から、どのようなこわばりがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
腕のこわばり,上肢知覚異常,いつ頃から、どのようなこわばりがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
手のこわばり,上肢知覚異常,いつ頃から、どのようなこわばりがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
呼吸困難,呼吸困難,いつから、どのような時に呼吸困難の症状があるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
胸が痛い,胸痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
動悸,動悸,いつから、どのような時に動悸が認められるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
息切れ,息切れ,いつから、どのような時に息切れが認められるのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
喘息,喘息,いつから、どのような時に喘息が起こるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
脈拍の異常,心拍異常,いつ頃から、どんな時に、どのような異常があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
胸が苦しい,胸部圧迫感,いつから、どんな時に、どのような胸部圧迫感があるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
胸のしびれ,半身しびれ,いつからしびれがあるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
乳房が痛い,乳房腫瘤,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
乳房のしこり,乳房腫瘤,いつから腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
胸やけ,胸やけ,いつから、どんな時に胸やけがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
胸のやけど,胸部熱傷,いつ、何故やけどをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
胸のけが,胸部外傷,いつ、何故けがをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
お腹が痛い,腹痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
下痢,下痢,いつ頃から、どんな時に、どのような下痢があるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
食欲不振,食欲不振,いつから食欲不振か、症状の経過、何か気が付いた点などもあれば併せて伝えましょう。,
みぞおちが痛い,心窩部痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
お腹が張る,腹部膨満,いつ頃から、どのような時に腹部膨満がありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
便秘,便秘,いつからか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
胃もたれ,腹部不快感,いつ頃から、どんな時に、どのような不快感があるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
胃が痛い,胃痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
消化不良,消化不良,いつから、どのような具合か、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
腹のやけど,腹部熱傷,いつ、何故やけどをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
早期膨満感,早期膨満感,,
腹囲増大,腹部拡大,,
腹のけが,腹部外傷,いつ、何故けがをしたのか、症状の経過、他に一緒に起こっている症状などもあれば併せて伝えましょう。,
ぎっくり腰,急性腰痛症,いつ発症し、原因は何か、症状の経過なども併せて伝えましょう。,
背中が痛い,背部痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
腰が痛い,腰痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
腰のしびれ,腰足知覚障害,いつからしびれがあるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
腰の神経痛,背部神経痛,いつから、どのような痛みがあるのか、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
腰の筋肉痛,背部筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過なども併せて伝えましょう。,
腰のけが,腰部損傷,いつ、何故けがをしたのか、症状の経過などもあれば併せて伝えましょう。,
腰のやけど,背部熱傷,いつ、何故やけどをしたのか、症状の経過などもあれば併せて伝えましょう。,
血便,血便,いつから血便が見られるのか、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
尿に血が混じる,血尿,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
尿の回数が多い,頻尿,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
尿が出なくなった,尿閉,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
尿が出るまでに時間がかかる,排尿困難,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
黒色便,黒色便,いつから黒色便があるのか、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
尿が漏れる,尿失禁,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
残尿感,残尿感,いつから残尿感があるのか、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
性感染症の疑い,性感染症,,
泌尿器が痛い,尿道痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
排尿時の痛み,排尿時痛,いつから、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
痔,痔核,いつから痔核があるのか、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
硬便,硬便,いつから硬便か、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
残便感,残便感,いつから残便感があるのか、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
便通変化,便通異常,いつ頃から異常があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
勃起障害,勃起障害,,
肛門が痛い,肛門部痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
泌尿器のけが,尿道外傷,いつ、何故けがをしたのか、症状の経過などもあれば併せて伝えましょう。,
肛門のけが,尿道外傷,いつ、何故けがをしたのか、症状の経過などもあれば併せて伝えましょう。,
尿道その他外傷,尿道損傷,いつ損傷したのか、思いあたる原因や、症状の経過などもあれば併せて伝えましょう。,
尿が濁る,混濁尿,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
排便時の痛み,排便時痛,いつから、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
濃い尿色,濃縮尿,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
排尿時不快感,排尿時不快感,いつから、どのような不快感があるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
尿道から膿が出る,尿道膿汁流出,いつからか、症状の経過や、気が付いた点なども併せて伝えましょう。,
性器のかゆみ,外陰部そう痒症,,
肛門のかゆみ,肛門そう痒症,いつ頃から、どのようなかゆみがありますか？ 気が付いた事などもあれば併せて伝えましょう。,
泌尿器のヘルペス,陰部ヘルペス,,
肛門のヘルペス,陰部ヘルペス,,
泌尿器のやけど,肛門熱傷,いつ、何故やけどをしたのか、症状の経過などもあれば併せて伝えましょう。,
肛門のやけど,肛門熱傷,いつ、何故やけどをしたのか、症状の経過などもあれば併せて伝えましょう。,
頻便,頻便,,
便の色が薄い,便色異常,いつ頃から異常があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足のむくみ,下肢浮腫,いつから浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足のはれもの,下肢浮腫,いつから浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の関節痛,下肢関節痛,いつから痛みがあるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の痙攣,下肢痙攣,いつから、どのような痙攣があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の筋肉痛,下肢筋肉痛,いつから筋肉痛があるのか、原因と思われる事柄、症状の経過なども併せて伝えましょう。,
足の麻痺,下肢麻痺,いつ頃から、どのような麻痺があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足のしこり,下腿腫瘤,いつから腫瘤があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足のしびれ,下肢しびれ,いつからしびれがあるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
足が痛い,足部痛,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
足のこわばり,下肢知覚障害,いつ頃から、どのようなこわばりがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
水虫,白癬,いつから、どのような状態か、経過なども併せて伝えましょう。,
足のやけど,下肢熱傷,いつ、何故やけどをしたのか、症状の経過などもあれば併せて伝えましょう。,
うおのめ,鶏眼,いつ頃から鶏眼があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
たこ,鶏眼,いつ頃から鶏眼があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足の捻挫,下肢捻挫,いつ、なぜ捻挫をしたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
足のけが,下肢外傷,いつ、何故けがをしたのか、症状の経過などもあれば併せて伝えましょう。,
爪の異常,爪の異常,いつ頃から、どのような爪の異常が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
外反母趾,外反母趾,,
足の冷え,冷え症,症状の経過、状態、気が付いた点などもあれば併せて伝えましょう。,
皮膚のはれもの,浮腫,いつ頃から浮腫があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
湿疹,湿疹,いつから、どのような湿疹があるのか、症状の経過、他に気が付いた点などもあれば併せて伝えましょう。,
皮膚のけが,皮膚損傷,いつ、何故けがをしたのか、症状の経過などもあれば併せて伝えましょう。,
いぼ,疣贅,いつ頃から疣贅があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
帯状疱疹,帯状疱疹,いつ頃から、どのような帯状疱疹が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
帯状ヘルペス,帯状疱疹,いつ頃から、どのような帯状疱疹が認められますか？ 気が付いた事などもあれば併せて伝えましょう。,
アトピー性皮膚炎,アトピー性皮膚炎,,
皮膚のかゆみ,掻痒,いつ頃から、どのような掻痒がありますか？ 気が付いた事などもあれば併せて伝えましょう。,
じんましん,蕁麻疹,いつからか、思いあたる原因や症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
皮膚のヘルペス,ヘルペス,いつ頃からヘルペスがありますか？ 症状の経過や、気が付いた点などもあれば併せて伝えましょう。,
皮膚のやけど,熱傷,いつ、何故やけどをしたのか、症状の経過などもあれば併せて伝えましょう。,
かぶれ,接触性皮膚炎,いつから接触性皮膚炎があるのか、症状の経過、他に気が付いた事などもあれば併せて伝えましょう。,
ほてり,ほてり,いつから、どのような時にほてりの症状があるのか、経過や、気が付いた点なども併せて伝えましょう。,
白癬菌,白癬,いつから、どのような状態か、経過なども併せて伝えましょう。,
虫さされ,虫刺症,いつ、何に刺されたか、痛みや痒みなどの症状の経過や、気が付いた点なども併せて伝えましょう。,
肌あれ,皮脂欠乏症,,
ニキビ,尋常性ざ瘡,いつ頃から尋常性ざ瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
皮膚が痛い,皮膚疼痛症,いつから、どんな時に、どのような痛みがあるのか、症状の経過や、気が付いた点なども併せて伝えましょう。,
あせも,汗疹,いつ頃、汗疹ができたのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
日焼け,日焼け,,
しみ,日焼け,,
そばかす,日焼け,,
皮膚のひび,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
皮膚のあかぎれ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
皮膚のしもやけ,凍瘡,いつから凍瘡があるのか、症状の経過、気が付いた点などもあれば併せて伝えましょう。,
記憶がない行動,記憶障害,いつ頃から、どの程度の記憶障害が見られるのか、気が付いた点なども併せて伝えましょう。,
うつ気分,うつ,いつ頃からですか？どのような時にどのような気分になるのか、経過なども併せて伝えましょう。,
自律神経の乱れ,自律神経失調,いつ頃からですか？どのような状態か、経過なども併せて伝えましょう。,
眠れない,不眠,いつ頃からですか？どのように眠れないのか、思いあたるきっかけや経過なども併せて伝えましょう。,
拒食,拒食,いつ頃からですか？どのような状態か、思いあたるきっかけや経過なども併せて伝えましょう。,
過食,過食,いつ頃からですか？どのような状態か、思いあたるきっかけや経過なども併せて伝えましょう。,
幻覚を見る,せん妄,せん妄の症状の中に幻覚が含まれ、この他にアルコール依存症や統合失調症などでも幻覚の症状が見られることがあります。いつ頃から、どのような幻覚があるのか、気が付いた点なども併せて伝えましょう。,
ストレス,ストレス,いつ頃からストレスを感じていますか？思いあたる原因や経過なども併せて伝えましょう。,
不安,パニック障害,いつ頃からですか？どのように不安を感じるのか、経過なども併せて伝えましょう。,
パニック発作,パニック障害,いつ頃からですか？どのような時に、どのような状態になるのか、経過なども併せて伝えましょう。,
人に見られている気がする,自己視線恐怖,いつ頃からですか？経過なども併せて伝えましょう。,